,DPS,timer fin de seq (sec)
SEQ1,0,62
SEQ2,"1,8",72
SEQ3,0,112
SEQ4,"1,0856102003643",661
SEQ5,0,696
SEQ6,"2,56716417910448",830
SEQ7,"2,69090909090909",995
SEQ8,"2,38073394495413",1213
SEQ9,"2,88260869565217",1443
SEQ10,0,1505
SEQ11,"2,67857142857143",1561
SEQ12,"2,17021276595745",1655
SEQ13,"2,56896551724138",1713
SEQ14,"1,8134328358209",1847
SEQ15,"2,52881355932203",2142
SEQ16,"0,536585365853659",2183
SEQ17,0,2293
SEQ18,"2,23376623376623",2370
SEQ19,"2,43243243243243",2407
SEQ20,"2,13559322033898",2525
SEQ21,"2,27737226277372",2662
SEQ22,0,2696
SEQ23,"1,39823008849558",2809
SEQ24,"1,51207729468599",3016
SEQ25,"2,22727272727273",3060
SEQ26,"2,14124293785311",3237
SEQ27,"2,29251700680272",3384
SEQ28,"1,57142857142857",3482
SEQ29,"1,64",3832
SEQ30,"1,03508771929825",4003
SEQ31,0,4103
SEQ32,"2,12121212121212",4136
SEQ33,"0,626086956521739",4251
SEQ34,"3,46258503401361",4398
SEQ35,"3,01398601398601",4541
SEQ36,"1,05714285714286",4576
SEQ37,0,4775
SEQ38,"9,22529644268775",5028
SEQ39,"0,785082174462706",5819
SEQ40,0,5838
SEQ41,"1,39393939393939",5937
SEQ42,"0,654450261780105",6128
SEQ43,"2,43741765480896",6887
SEQ44,"1,71764705882353",7227
SEQ45,0,7276
SEQ46,"2,04255319148936",7370
SEQ47,0,7519
SEQ48,"1,20083682008368",7758
SEQ49,"2,35882352941176",7928
SEQ50,"1,6875",8120
SEQ51,"1,65432098765432",8282
SEQ52,"2,10232558139535",8497
SEQ53,0,8561
SEQ54,"1,25352112676056",8632
SEQ55,0,8660
