nom_fichier,nombre_mots,16018,
LMI_2005V2_1_0.0_9023.6373125_mergedlength.json,2806,"0,18",
LMI_2005_1_0.0_9355.6266875_mergedlength.json,7632,"0,48",
LMI_20220621_1_1_0.0_5020.0043125_mergedlength.json,8808,"0,55",
LMI_20220826_1_0.0_8753.398625_mergedlength.json,13207,"0,82",
LMI_20220828_1_0.0_8755.0443125_mergedlength.json,12937,"0,81",
LMI_20230427_0_9774.48_final_mergedlength.json,10383,"0,65",
LMI_20230428_0_9152.85_final_mergedlength.json,10256,"0,64",
LMI_20230502_0_9443.910015000003_final_mergedlength.json,11082,"0,69",
LMI_20230503_0_9331.260030000001_final_mergedlength.json,10913,"0,68",
LMI_20230504_0_9333.569985_final_mergedlength.json,10751,"0,67",
LMI_20230505_0_9338.91_final_mergedlength.json,11007,"0,69",
LMI_20230509_0_9452.16_final_mergedlength.json,10937,"0,68",
LMI_20230510_0_9505.769999999999_final_mergedlength.json,10903,"0,68",
LMI_20230511_0_9445.050000000001_final_mergedlength.json,10812,"0,67",
LMI_20230512_0_9503.699999999999_final_mergedlength.json,10721,"0,67",
LMI_20230513_0_9451.019984999999_final_mergedlength.json,10833,"0,68",
,,,"67,31 %"
