,file,window,start_time_s,end_time_s,start_time_mn,end_time_mn,count_words,mean,std,min,max,count [0–1[,perc [0–1[,count [1–2[,perc [1–2[,count [2–3[,perc [2–3[,count [3–5],perc [3–5]
0,LMI_20220828_1_0.0_8755.0443125_mergedlength.json,0,0.0,58.34,00:00,00:58,4,0.06,0.04,0.0,0.13,1200,100.0,0,0.0,0,0.0,0,0.0
1,LMI_20220828_1_0.0_8755.0443125_mergedlength.json,1,58.34,116.69,00:58,01:56,14,0.24,0.13,0.0,0.44,1854,100.0,0,0.0,0,0.0,0,0.0
2,LMI_20220828_1_0.0_8755.0443125_mergedlength.json,2,116.69,175.03,01:56,02:55,28,0.48,0.25,0.12,0.84,1867,100.0,0,0.0,0,0.0,0,0.0
3,LMI_20220828_1_0.0_8755.0443125_mergedlength.json,3,175.03,233.38,02:55,03:53,67,1.16,0.16,0.84,1.36,409,21.91,1458,78.09,0,0.0,0,0.0
4,LMI_20220828_1_0.0_8755.0443125_mergedlength.json,4,233.38,291.72,03:53,04:51,45,0.81,0.09,0.7,1.03,1825,97.75,42,2.25,0,0.0,0,0.0
5,LMI_20220828_1_0.0_8755.0443125_mergedlength.json,5,291.72,350.06,04:51,05:50,44,0.79,0.08,0.69,0.93,1867,100.0,0,0.0,0,0.0,0,0.0
6,LMI_20220828_1_0.0_8755.0443125_mergedlength.json,6,350.06,408.41,05:50,06:48,58,0.98,0.04,0.86,1.02,1298,69.52,569,30.48,0,0.0,0,0.0
7,LMI_20220828_1_0.0_8755.0443125_mergedlength.json,7,408.41,466.75,06:48,07:46,68,1.16,0.07,1.01,1.25,0,0.0,1867,100.0,0,0.0,0,0.0
8,LMI_20220828_1_0.0_8755.0443125_mergedlength.json,8,466.75,525.09,07:46,08:45,49,0.87,0.09,0.71,1.05,1793,96.04,74,3.96,0,0.0,0,0.0
9,LMI_20220828_1_0.0_8755.0443125_mergedlength.json,9,525.09,583.44,08:45,09:43,26,0.57,0.19,0.34,1.03,1837,98.39,30,1.61,0,0.0,0,0.0
10,LMI_20220828_1_0.0_8755.0443125_mergedlength.json,10,583.44,641.78,09:43,10:41,65,0.94,0.11,0.79,1.15,1337,71.61,530,28.39,0,0.0,0,0.0
11,LMI_20220828_1_0.0_8755.0443125_mergedlength.json,11,641.78,700.12,10:41,11:40,37,0.62,0.11,0.44,0.84,1867,100.0,0,0.0,0,0.0,0,0.0
12,LMI_20220828_1_0.0_8755.0443125_mergedlength.json,12,700.12,758.47,11:40,12:38,29,0.57,0.48,0.1,1.74,1486,79.59,381,20.41,0,0.0,0,0.0
13,LMI_20220828_1_0.0_8755.0443125_mergedlength.json,13,758.47,816.81,12:38,13:36,132,2.23,0.38,1.74,2.96,0,0.0,739,39.58,1128,60.42,0,0.0
14,LMI_20220828_1_0.0_8755.0443125_mergedlength.json,14,816.81,875.16,13:36,14:35,133,2.42,0.32,2.0,2.96,0,0.0,60,3.21,1807,96.79,0,0.0
15,LMI_20220828_1_0.0_8755.0443125_mergedlength.json,15,875.16,933.5,14:35,15:33,185,3.12,0.11,2.81,3.31,0,0.0,0,0.0,145,7.77,1722,92.23
16,LMI_20220828_1_0.0_8755.0443125_mergedlength.json,16,933.5,991.84,15:33,16:31,142,2.42,0.47,1.93,3.3,0,0.0,410,21.96,1079,57.79,378,20.25
17,LMI_20220828_1_0.0_8755.0443125_mergedlength.json,17,991.84,1050.19,16:31,17:30,143,2.44,0.15,2.28,2.67,0,0.0,0,0.0,1867,100.0,0,0.0
18,LMI_20220828_1_0.0_8755.0443125_mergedlength.json,18,1050.19,1108.53,17:30,18:28,180,3.06,0.19,2.67,3.28,0,0.0,0,0.0,624,33.42,1243,66.58
19,LMI_20220828_1_0.0_8755.0443125_mergedlength.json,19,1108.53,1166.88,18:28,19:26,156,2.69,0.17,2.39,3.03,0,0.0,0,0.0,1800,96.41,67,3.59
20,LMI_20220828_1_0.0_8755.0443125_mergedlength.json,20,1166.88,1225.22,19:26,20:25,150,2.55,0.21,2.32,2.85,0,0.0,0,0.0,1867,100.0,0,0.0
21,LMI_20220828_1_0.0_8755.0443125_mergedlength.json,21,1225.22,1283.56,20:25,21:23,180,3.21,0.22,2.84,3.49,0,0.0,0,0.0,423,22.66,1444,77.34
22,LMI_20220828_1_0.0_8755.0443125_mergedlength.json,22,1283.56,1341.91,21:23,22:21,191,3.29,0.24,2.79,3.59,0,0.0,0,0.0,321,17.19,1546,82.81
23,LMI_20220828_1_0.0_8755.0443125_mergedlength.json,23,1341.91,1400.25,22:21,23:20,66,1.1,0.97,0.03,2.79,998,53.45,390,20.89,479,25.66,0,0.0
